,title,published_date,img_url,image_url
1557,ODD INTERLUDE #2,2012-07-08,,https://storage.googleapis.com/du-prd/books/images/9780345536778.jpg
2881,THE STORM,2012-07-08,,https://storage.googleapis.com/du-prd/books/images/9780399160134.jpg
2561,THE LAST BOYFRIEND,2012-07-08,,https://storage.googleapis.com/du-prd/books/images/9780515151480.jpg
2619,THE LUCKY ONE,2012-07-08,,https://storage.googleapis.com/du-prd/books/images/9780446542180.jpg
437,CALICO JOE,2012-07-08,,https://storage.googleapis.com/du-prd/books/images/9780385536080.jpg
1670,PORCH LIGHTS,2012-07-01,,https://storage.googleapis.com/du-prd/books/images/9780061961298.jpg
1428,MISSION TO PARIS,2012-07-01,,https://storage.googleapis.com/du-prd/books/images/9781400069484.jpg
146,AFRAID TO DIE,2012-07-01,,
114,A STORM OF SWORDS,2012-06-24,,https://storage.googleapis.com/du-prd/books/images/9780553573428.jpg
1568,ON THE ISLAND,2012-06-24,,https://storage.googleapis.com/du-prd/books/images/A00B005L9B5YU.jpg
